Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Year,Averafe Life Expectancy at Birth
Dominica,DMA,72.693,71.713,72.34,71.438,72.401,72.254,72.848,71.93,73.305,72.17,71.55,69.695,70.538,68.896,69.434,68.727,70.128,67.525,73.59,73.559,73.649,72.814,72.981,,,
Denmark,DNK,76.59268293,76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.85365854,81.10243902,80.95365854,81.45121951,81.60243902,81.40487805,81.30487805,,,
Dominican Republic,DOM,69.423,69.642,69.923,70.265,70.331,70.875,71.165,71.371,71.658,71.871,72.093,72.221,72.514,72.713,72.867,72.953,72.987,73.063,73.232,73.577,72.889,72.615,74.17,,,
Algeria,DZA,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,77.129,,,
East Asia & Pacific (excluding high income),EAP,70.56483648,71.15329235,71.50019236,71.94853627,72.02660886,72.55539597,72.90653349,73.14946089,73.09787096,73.64961214,73.8761729,74.14703458,74.3957727,74.64474646,74.90326857,75.12303517,75.32186322,75.38591132,75.80143372,76.0020203,75.93602464,75.5432913,76.17851158,,,
Early-demographic dividend,EAR,64.49925708,64.81635499,65.22265491,65.51968729,65.74290199,66.19150348,66.59202958,66.88471173,67.07969005,67.52799848,67.86597309,68.29176977,68.67255327,69.0653204,69.48499151,69.87120792,70.21638781,70.53844903,70.79482503,71.01473888,70.02869341,68.46604059,69.31643747,,,
East Asia & Pacific,EAS,71.55255395,72.11293429,72.45024173,72.86440322,72.96315999,73.43933501,73.79191693,74.03501181,74.00471204,74.5325075,74.73430068,74.97132237,75.22971722,75.47911471,75.73116269,75.94873612,76.13787496,76.21244006,76.59395885,76.79768228,76.75970169,76.39329502,76.90204606,,,
Europe & Central Asia (excluding high income),ECA,68.89210391,69.19695348,69.5064977,69.75475097,70.02035093,70.09322664,70.40231143,70.70877558,71.002439,71.48283562,71.87842997,72.07425199,72.53715881,72.94263409,73.17490419,73.34784353,73.56011775,73.90620692,74.10373588,74.33142484,72.67145433,72.59312502,74.10651394,,,
Europe & Central Asia,ECS,73.13222407,73.39272537,73.50306429,73.61361044,74.05467488,74.19482894,74.69334106,75.05155898,75.31299457,75.70186848,75.98653085,76.45826324,76.64226647,76.98445179,77.29442244,77.22881673,77.56267943,77.77312883,77.90651245,78.18050699,76.95248813,76.66642379,77.8413187,,,
Ecuador,ECU,72.839,73.24,73.613,73.975,74.279,74.514,74.689,74.844,74.983,75.184,75.43,75.743,76.062,76.369,76.622,76.789,76.763,76.972,77.094,77.297,72.153,73.67,77.894,,,
